archetype,signal,signal_kind,n_users,p25,p50,p75,mean
The Pair Programmer,problem_statement_explicit,interpretive,16,0.7292,0.7639,0.9250,0.7858
The Pair Programmer,cited_team_convention,interpretive,16,0.0000,0.0000,0.0958,0.0726
The Pair Programmer,context_loading_directive,interpretive,16,0.3833,0.5500,0.6719,0.5482
The Pair Programmer,existing_code_shared,interpretive,16,0.0000,0.0238,0.1313,0.0922
The Pair Programmer,test_or_spec_provided,interpretive,16,0.0357,0.1292,0.2708,0.2024
The Pair Programmer,decomposition,interpretive,16,0.5417,0.6515,0.7500,0.6562
The Pair Programmer,requested_plan_mode,interpretive,16,0.0000,0.1389,0.4107,0.2190
The Pair Programmer,plan_approved,interpretive,16,0.0000,0.0000,0.0903,0.0628
The Pair Programmer,plan_rejected,interpretive,16,0.0000,0.0000,0.0000,0.0157
The Pair Programmer,plan_edited,interpretive,16,0.0000,0.0000,0.0119,0.0513
The Pair Programmer,pointed_to_specific_issue,interpretive,16,0.3833,0.5119,0.6875,0.5250
The Pair Programmer,ran_and_reported,interpretive,16,0.2341,0.3854,0.5417,0.3873
The Pair Programmer,asked_why_choice,interpretive,16,0.1057,0.2500,0.3996,0.2712
The Pair Programmer,asked_for_alternative,interpretive,16,0.1250,0.2440,0.3500,0.2863
The Pair Programmer,asked_about_tradeoffs,interpretive,16,0.0833,0.1667,0.3106,0.1943
The Pair Programmer,requested_diff_review,interpretive,16,0.0000,0.0000,0.0000,0.0282
The Pair Programmer,rejected_approach,interpretive,16,0.2000,0.2583,0.4062,0.3207
The Pair Programmer,constraint_added_later,interpretive,16,0.5000,0.6155,0.7500,0.6253
The Pair Programmer,change_request_specific,interpretive,16,0.5476,0.6280,0.6875,0.6393
The Pair Programmer,change_request_vague,interpretive,16,0.0000,0.0000,0.0076,0.0293
The Pair Programmer,tool_use_steering,interpretive,16,0.0781,0.2250,0.3625,0.2557
The Pair Programmer,subagent_explicitly_delegated,interpretive,16,0.0000,0.0972,0.2500,0.1427
The Pair Programmer,workflow_step_delegation,interpretive,16,0.2500,0.6667,0.8208,0.5859
The Pair Programmer,safety_constraint_set,interpretive,16,0.0000,0.0667,0.3333,0.1619
The Pair Programmer,meta_behavioral_steering,interpretive,16,0.1369,0.2896,0.5000,0.3461
The Pair Programmer,accept_verbatim_no_question,interpretive,16,0.0000,0.0000,0.0000,0.0210
The Pair Programmer,fix_request_without_specifics,interpretive,16,0.0000,0.0000,0.2056,0.0875
The Pair Programmer,repeated_same_prompt,interpretive,16,0.0000,0.0333,0.1636,0.0980
The Pair Programmer,error_repaste,interpretive,16,0.0000,0.0000,0.0156,0.0369
The Pair Programmer,post_implementation_correction,interpretive,16,0.4861,0.5278,0.6667,0.5766
